车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
创界 2019款 435T Redline CVT两驱驰锐版 国VI,"6.88, , ",4.6,2022年1月,0,自动,1.3,前驱,国VI,1.3,紧凑型SUV,92,红/紫色
福睿斯 2017款 改款 1.5L 自动舒适型,"4.48, , ",6,2018年11月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,香槟/棕色
发现神行 2018款 240PS SE版,"15.80, , ",4.9,2018年2月,0,自动,2,四驱,国V,2,中型SUV,95,白色
标致408 2019款 230THP 自动豪华版 国V,"3.98, , ",4.8,2018年10月,0,自动,1.2,前驱,国V,1.2,紧凑型车,92,白色
MG5 2021款 300TGI DCT青奢豪享版,"4.98, , ",3.8,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
长安CS35 2017款 1.6L 手动豪华型,"3.78, , ",6.5,2019年2月,1,手动,1.6,前驱,国V,1.6,小型SUV,92,白色
奕炫 2020款 230T 自动炫酷版,"4.98, , ",3.6,2020年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
英朗 2021款 改款 1.3T 自动轻混动精英型,"5.28, , ",2.6,2021年5月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,92,白色
普拉多 2018款 3.5L 自动TX-L NAVI,"49.80, , ",3.1,2020年11月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
,,,,,,,,,,,,
迈腾 2019款 380TSI DSG 豪华型 国V,"12.88, , ",6.2,2019年11月,0,自动,2,前驱,国V,2,中型车,95,黑色
奔驰GLA 2017款 GLA 200 时尚型,"9.68, , ",11,2017年6月,0,自动,1.6,前驱,国V,1.6,紧凑型SUV,95,白色
启辰D50 2013款 1.6L 手动豪华版,"1.88, , ",11.7,2014年6月,1,手动,1.6,前驱,国IV+OBD,1.6,紧凑型车,92,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
红旗H5 2019款 30TD 型动版,"6.81, , ",4,2020年1月,0,自动,1.8,前驱,国VI,1.8,中型车,92,黑色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
创酷 2016款 1.4T 自动两驱豪华型,"4.50, , ",9,2016年7月,1,自动,1.4,前驱,国V,1.4,小型SUV,92,白色
奔腾T99 2020款 20TD 自动尊享型,"7.48, , ",3.1,2020年5月,0,自动,2,前驱,国VI,2,中大型SUV,95,白色
奥迪A5 2017款 Coupe 40 TFSI 时尚型,"18.18, , ",7.9,2017年12月,1,自动,2,前驱,国V,2,中型车,95,白色
唯雅诺 2013款 3.0L 舒适版,"12.58, , ",12,2015年12月,0,自动,3,后驱,欧V,3,,95,黑色
", 宝马5系 2019款 改款 525Li 豪华套装","25.88, , ",11.3,2019年8月,,", ",", ",,", ",,,,
捷达VS7 2020款 1.4T 自动荣耀型,"8.88, , ",2.8,2021年2月,0,自动,1.4,前驱,国VI,1.4,中型SUV,95,白色
荣威RX3 2018款 1.6L CVT互联网智享版,"4.18, , ",5.8,2017年12月,2,自动,1.6,前驱,国V,1.6,小型SUV,92,白色
逸动 2022款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵版,"5.58, , ",2.6,2022年6月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
雅阁 2018款 260TURBO 精英版 国V,"11.98, , ",7,2019年2月,1,自动,1.5,前驱,国V,1.5,中型车,92,黑色
宝马3系 2018款 320i M运动套装,"18.98, , ",8,2018年4月,2,自动,2,后驱,国V,2,中型车,95,白色
宝来 2021款 1.5L 自动舒适智联版,"8.88, , ",2,2022年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
辉昂 2018款 改款 380TSI 两驱商务版,"16.38, , ",10,2018年6月,0,自动,2,前驱,国V,2,中大型车,95,香槟/棕色
标致408 2019款 230THP 自动豪华版 国V,"3.80, , ",6.2,2018年10月,0,自动,1.2,前驱,国V,1.2,紧凑型车,92,白色
奔驰E级 2017款 E 300 L 豪华型,"27.80, , ",5.5,2017年8月,0,自动,2,后驱,欧V,2,中大型车,95,黑色
", 宝马3系 2018款 320Li 领先型豪华套装","16.88, , ",9,2018年11月,,", ",", ",,", ",,,,
哈弗H6 2018款 红标 运动版 1.5T 自动两驱尊贵型,"4.58, , ",7,2018年10月,2,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,白色
轩逸 2018款 1.6XV CVT尊享版,"6.60, , ",6,2018年4月,1,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
思域 2019款 220TURBO 手动劲控版 国V,"7.98, , ",7,2020年1月,0,手动,1.5,前驱,国V,1.5,紧凑型车,92,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
雷凌 2017款 改款 185T CVT精英版 国V,"7.68, , ",6,2019年2月,1,自动,1.2,前驱,国V,1.2,紧凑型车,92,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
昂科拉 2017款 18T 自动两驱都市领先型,"4.98, , ",9,2018年5月,2,自动,1.4,前驱,国V,1.4,小型SUV,92,白色
领动 2016款 1.6L 自动智炫・精英型,"5.68, , ",10,2018年12月,0,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
宝马4系 2014款 420i 敞篷豪华设计套装,"19.90, , ",9.9,2016年3月,3,自动,2,后驱,国V,2,中型车,95,白色
标致308 2019款 230THP 自动豪华版 国V,"4.98, , ",5.81,2020年1月,0,自动,1.2,前驱,国V+OBD,1.2,紧凑型车,92,白色
菲翔 2015款 1.4T 自动劲享版,"2.18, , ",9.2,2015年6月,1,自动,1.4,前驱,国IV(国V),1.4,紧凑型车,92,白色
吉利EC8 2015款 2.0L 手动精英型,"2.28, , ",10,2016年8月,1,手动,2,前驱,国IV,2,中型车,92,黑色
魏牌 VV7 2017款 2.0T 超豪型,"6.98, , ",9,2018年6月,1,自动,2,前驱,国V,2,中型SUV,92,蓝色
迈锐宝 2018款 530T 自动豪华版,"5.98, , ",6.8,2018年3月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
哈弗M6 2018款 1.5T 手动两驱精英型,"4.58, , ",2,2018年5月,1,手动,1.5,前驱,国V,1.5,紧凑型SUV,92,白色
宝马3系 2018款 320Li 时尚型,"14.28, , ",5,2018年5月,1,自动,2,后驱,国V,2,中型车,95,白色
凯迪拉克CT6 2017款 28T 时尚型,"15.88, , ",7.5,2018年7月,0,自动,2,后驱,国V,2,中大型车,95,白色
比亚迪F3 2013款 节能版 1.5L 手动舒适型,"1.48, , ",8.9,2017年6月,1,手动,1.5,前驱,国IV(国V),1.5,紧凑型车,92,白色
", 飞度 2020款 1.5L CVT舒适版","6.68, , ",2,2020年3月,,", ",", ",,", ",,,,
英朗 2018款 18T 自动精英型,"4.20, , ",4.85,2018年4月,0,自动,1.3,前驱,国V,1.3,紧凑型车,92,白色
迈锐宝 2018款 530T 自动风尚版,"7.60, , ",4.3,2018年11月,1,自动,1.5,前驱,国V,1.5,中型车,92,白色
锐程CC 2021款 蓝鲸版 1.5T DCT豪华型,"4.98, , ",3.8,2020年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
思域 2022款 240TURBO CVT燃动版,"11.38, , ",2,2022年4月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,蓝色
奔驰E级 2016款 E 300 L 运动时尚型,"23.80, , ",9.31,2016年12月,0,自动,2,后驱,欧V,2,中大型车,95,银/灰色
,,,,,,,,,,,,
传祺M8 2021款 大师系列 390T 至尊版,"17.98, , ",6,2021年4月,0,自动,2,前驱,国VI,2,,95,黑色
红旗HS5 2019款 2.0T 智联旗享版,"10.78, , ",2.2,2022年1月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
明锐 2019款 TSI230 DSG豪华版,"5.88, , ",12,2018年10月,1,自动,1.2,前驱,国V,1.2,紧凑型车,95,白色
坦克300 2021款 越野版 2.0T 征服者,"18.88, , ",4,2022年6月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黄/橙色
MG6 2017款 20T 自动豪华智联版 国V,"5.78, , ",4,2019年2月,1,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
领克02 2018款 1.5T DCT两驱耀版 国V,"7.28, , ",4,2020年1月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,95,银/灰色
红旗HS5 2022款 2.0T 智联旗悦版,"9.81, , ",2.6,2021年1月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
智跑 2019款 2.0L 自动智享豪华版,"7.98, , ",6.1,2019年10月,0,自动,2,前驱,国VI,2,紧凑型SUV,92,白色
红旗H5 2019款 30TD 型动版,"5.80, , ",5,2019年11月,0,自动,1.8,前驱,国VI,1.8,中型车,92,黑色
昂科威 2020款 28T 四驱精英型,"14.80, , ",5.4,2020年6月,0,自动,2,四驱,国VI,2,中型SUV,95,香槟/棕色
科鲁兹 2018款 320 自动先锋天窗版,"4.28, , ",4.8,2018年5月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
科鲁泽 2020款 轻混 RS 330T 自动畅快版,"4.68, , ",3.8,2020年1月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,92,蓝色
标致308 2014款 乐享版 经典 1.6L 自动风尚型,"2.48, , ",10,2014年11月,0,自动,1.6,前驱,国IV+OBD,1.6,紧凑型车,92,红/紫色
起亚K2 2017款 三厢 1.4L MT 15周年特别版GLS,"3.88, , ",8,2019年1月,0,手动,1.4,前驱,国V,1.4,小型车,92,白色
英朗 2013款 XT 1.6L 自动时尚版,"2.88, , ",9.7,2013年12月,0,自动,1.6,前驱,国IV(国V),1.6,紧凑型车,92,白色
缤越 2019款 260T DCT骑士 国V,"4.58, , ",6,2019年3月,0,自动,1.5,前驱,国V,1.5,小型SUV,92,红/紫色
科沃兹 2018款 320 自动欣悦版,"3.88, , ",7.5,2018年3月,1,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
宝马5系 2020款 525Li M运动套装,"30.98, , ",8,2022年8月,3,自动,2,后驱,国VI,2,中大型车,95,白色
途乐 2018款 4.0L 领英型,"25.80, , ",14,2017年9月,0,自动,4,四驱,国V,4,大型SUV,95,白色
雅阁 2018款 260TURBO 精英版 国VI,"12.59, , ",3.2,2021年11月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
,,,,,,,,,,,,
猎豹CS10 2016款 2.0T 手动风尚型,"2.80, , ",8.2,2016年12月,1,手动,2,前驱,国V,2,紧凑型SUV,92,白色
,,,,,,,,,,,,
揽胜极光 2018款 240PS SE 智耀版,"12.80, , ",13,2018年5月,0,自动,2,四驱,国V,2,中型SUV,95,红/紫色
雷克萨斯RX 2016款 300 两驱舒适版 国V,"19.80, , ",11,2016年8月,0,自动,2,前驱,国V,2,中大型SUV,95,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
伊兰特 2023款 240TGDi DCT N Line LUX尊贵版,"9.28, , ",2.8,2023年3月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
海马S5 2015款 1.5T CVT旗舰型,"3.88, , ",15,2017年7月,1,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,红/紫色
哈弗H1 2015款 1.5L AMT豪华型,"1.98, , ",7.4,2014年12月,0,自动,1.5,前驱,国IV(国V),1.5,小型SUV,92,红/紫色
YARiS L 致享 2017款 1.5E CVT魅动版,"4.88, , ",6,2018年6月,0,自动,1.5,前驱,国V,1.5,小型车,92,白色
魏牌 VV7 2017款 2.0T 旗舰型,"6.58, , ",5.8,2018年5月,0,自动,2,前驱,国V,2,中型SUV,92,黑色
迈腾 2020款 330TSI DSG 豪华型,"13.88, , ",4.2,2020年11月,1,自动,2,前驱,国VI,2,中型车,95,黑色
领克05 2020款 2.0TD 四驱劲Plus,"11.26, , ",3,2020年5月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,黑色
宝马5系 2020款 525Li 豪华套装,"27.38, , ",7.4,2020年9月,0,自动,2,后驱,国VI,2,中大型车,95,白色
", 奔驰E级 2018款 E 200 L 4MATIC","24.58, , ",10.23,2018年5月,,", ",", ",,", ",,,,
迈腾 2018款 改款 380TSI DSG 豪华型,"11.28, , ",6.88,2018年9月,0,自动,2,前驱,国V,2,中型车,95,黑色
奥迪A5 2017款 Sportback 40 TFSI 时尚型,"21.38, , ",12,2018年10月,0,自动,2,前驱,国V,2,中型车,95,白色
沃尔沃V40 2016款 T4 智雅版,"7.58, , ",8,2016年4月,2,自动,2,前驱,国V,2,紧凑型车,95,白色
奔驰C级(进口) 2020款 C 260 轿跑车,"19.98, , ",5.5,2020年3月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
标致408 2022款 1.6T 逐梦版,"9.15, , ",2,2023年6月,1,自动,1.6,前驱,国VI,1.6,紧凑型车,92,银/灰色
英仕派 2019款 260TURBO 精致版 国VI,"12.98, , ",7.1,2020年11月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
宝马3系 2017款 320Li 时尚型,"13.88, , ",9,2017年10月,0,自动,2,后驱,国V,2,中型车,95,香槟/棕色
宝马1系 2018款 118i 运动型,"7.40, , ",5.5,2018年6月,0,自动,1.5,前驱,国V,1.5,紧凑型车,95,蓝色
迈腾 2018款 改款 330TSI DSG 豪华型,"11.38, , ",8.1,2018年10月,0,自动,1.8,前驱,国V,1.8,中型车,95,银/灰色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
奔驰GLC 2021款 GLC 300 L 4MATIC 豪华型,"36.80, , ",2.1,2022年3月,2,自动,2,四驱,国VI,2,中型SUV,95,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
牧马人 2014款 3.6L 龙腾典藏版,"24.80, , ",11,2014年9月,1,自动,3.6,四驱,国IV,3.6,中型SUV,92,黑色
雪铁龙C4L 2014款 1.6THP 智驱版 自动劲智型,"3.38, , ",13,2014年6月,0,自动,1.6,前驱,国IV(国V),1.6,紧凑型车,92,白色
Polo 2016款 1.6L 自动舒适型,"5.30, , ",5,2018年3月,0,自动,1.6,前驱,国V,1.6,小型车,92,白色
逸动 2018款 1.6L GDI 手动领尚型,"4.60, , ",8.1,2018年9月,0,手动,1.6,前驱,国V,1.6,紧凑型车,92,白色
途胜 2015款 1.6T 双离合两驱智能型,"5.88, , ",14.1,2017年1月,1,自动,1.6,前驱,国IV(国V),1.6,紧凑型SUV,92,白色
奔驰GLA 2019款 GLA 200 动感型,"13.80, , ",9,2019年7月,1,自动,1.6,前驱,国VI,1.6,紧凑型SUV,95,蓝色
哈弗H6 2018款 红标 运动版 1.5T 自动两驱精英型,"4.68, , ",9,2018年6月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,白色
MG5 2021款 改款 300TGI DCT青奢旗舰版,"5.58, , ",3.2,2021年4月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
帕萨特 2021款 330TSI 豪华版,"16.18, , ",7,2021年9月,0,自动,2,前驱,国VI,2,中型车,95,黑色
迈威 2016款 1.5L 自动智享型,"2.68, , ",6,2018年10月,1,自动,1.5,后驱,国V,1.5,紧凑型SUV,92,白色
宝马X5(进口) 2011款 xDrive35i M运动型,"9.58, , ",14.6,2012年8月,0,自动,3,四驱,欧IV,3,中大型SUV,95,黑色
凌渡 2023款 凌渡L 280TSI DSG酷辣版,"11.88, , ",0.1,2023年6月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,黑色
凯迪拉克CT6 2017款 28T 豪华型,"13.38, , ",12,2017年12月,1,自动,2,后驱,国V,2,中大型车,95,黑色
蒙迪欧 2013款 1.5L GTDi180时尚型,"4.98, , ",8,2016年3月,0,自动,1.5,前驱,国IV(国V),1.5,中型车,92,白色
长安CS75 2020款 280T 自动精智型 国VI,"5.98, , ",6.4,2019年9月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
标致308S 2015款 1.2T 自动劲驰版,"3.88, , ",8,2016年10月,1,自动,1.2,前驱,国V,1.2,紧凑型车,92,白色
哈弗H6 2021款 第三代 1.5T 自动两驱Pro,"7.68, , ",2.6,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
奔驰S级 2021款 S 450 L 4MATIC,"86.80, , ",4.5,2021年6月,0,自动,3,四驱,国VI,3,大型车,95,黑色
宝马1系 2021款 改款 120i M运动曜夜版,"12.88, , ",2.5,2021年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
影豹 2021款 270T DCT J15版,"7.38, , ",2,2021年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
轩逸 2019款 经典 1.6XL CVT豪华版,"6.08, , ",6,2021年1月,0,自动,1.6,前驱,国VI,1.6,紧凑型车,92,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MG6 2020款 1.5T 自动Trophy旗舰版,"6.38, , ",3.86,2020年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
长安UNI-V 2022款 1.5T 卓越型,"7.01, , ",1.5,2022年7月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
陆风X7 2015款 2.0T 全景尊贵版,"3.98, , ",5,2017年1月,0,自动,2,前驱,国V,2,紧凑型SUV,92,白色
宋MAX 2019款 1.5T 手动智联睿逸天窗型 7座 国VI,"4.98, , ",4,2020年1月,0,手动,1.5,前驱,国VI,1.5,,92,蓝色
Cayenne新能源 2022款 Cayenne E-Hybrid 2.0T 铂金版,,4.6,2022年5月,1,自动,53km,,插电混动,2,中大型SUV,前置四驱,白色
长安CS95 2018款 2.0T 两驱荣耀版,"7.68, , ",5,2019年4月,1,自动,2,前驱,国V,2,中大型SUV,92,白色
奥迪A3 2020款 Limousine 35 TFSI 时尚型 国V,"11.88, , ",3.6,2020年9月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
长安UNI-V 2022款 1.5T 运动版,"7.89, , ",1.86,2023年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
奔驰E级(进口) 2021款 E 260 敞篷轿跑车,"52.88, , ",0.48,2022年8月,0,自动,1.5,后驱,国VI,1.5,中大型车,95,白色
速腾 2018款 1.6L 自动舒适型,"7.18, , ",7,2018年8月,0,自动,1.6,前驱,国V,1.6,紧凑型车,92,黑色
别克GL6 2021款 323T 轻混动互联豪华型,"9.28, , ",4,2023年2月,0,自动,1.3,前驱,国VI,1.3,,92,白色
影豹 2021款 270T DCT J15版,"6.98, , ",2.16,2021年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
MG5 2021款 300TGI DCT青奢风潮版,"5.26, , ",3.12,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
", 哈弗H6 2018款 红标 运动版 1.5T 手动两驱精英型","4.98, , ",3,2019年5月,,", ",", ",,", ",,,,
起亚K5 2020款  380T GT-Line 尊贵版,"10.35, , ",3.03,2021年1月,0,自动,2,前驱,国VI,2,中型车,92,银/灰色
赛欧 2016款 赛欧3 1.3L 手动舒适天窗版,"2.38, , ",10,2017年11月,1,手动,1.3,前驱,国V,1.3,小型车,92,白色
马自达3 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,"5.80, , ",8.3,2019年4月,1,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
长安UNI-V 2022款 1.5T 运动版,"8.08, , ",2.62,2022年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
,,,,,,,,,,,,
,,,,,,,,,,,,
长安CX20 2014款 1.4L 手动运动版 国V,"1.88, , ",9.3,2016年1月,1,手动,1.4,前驱,国V,1.4,小型车,92,白色
雷克萨斯IS 2017款 300 F SPORT版,"20.58, , ",7,2019年7月,1,自动,2,后驱,国V,2,中型车,95,银/灰色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
途观L 2017款 330TSI 自动两驱豪华版,"9.98, , ",7.8,2017年6月,0,自动,1.8,前驱,国V,1.8,中型SUV,95,黑色
奥迪A6L 2021款 40 TFSI 豪华动感型,"27.60, , ",5.2,2021年6月,2,自动,2,前驱,国VI,2,中大型车,95,黑色
蒙迪欧 2018款 EcoBoost 180 时尚型,"8.68, , ",8.3,2018年6月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,"5.68, , ",9,2016年12月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
保时捷911 2016款 Carrera Cabriolet 3.0T,"68.80, , ",4.4,2017年6月,1,自动,3,后置后驱,欧V,3,跑车,95,银/灰色
天籁 2020款 2.0L XL 舒适版,"11.68, , ",8.3,2020年3月,0,自动,2,前驱,国VI,2,中型车,92,白色
天籁 2022款 2.0L XL-TLS 悦享版,"14.38, , ",0.16,2023年11月,0,自动,2,前驱,国VI,2,中型车,92,白色
迈锐宝XL 2019款 Redline 550T 自动锐动版,"8.08, , ",3.8,2019年4月,0,自动,2,前驱,国VI,2,中型车,95,白色
C4世嘉 2018款 1.6L 自动豪华型,"4.88, , ",7.52,2018年7月,1,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
红旗H5 2019款 30TD 型动版,"5.98, , ",3.9,2019年12月,0,自动,1.8,前驱,国VI,1.8,中型车,92,黑色
MG5 2021款 300TGI DCT青奢风潮版,"4.68, , ",2.8,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
途观L 2020款 330TSI 自动两驱全景舒适版 国VI,"13.88, , ",9,2020年12月,0,自动,2,前驱,国VI,2,中型SUV,95,香槟/棕色
领克03 2021款 1.5TD DCT劲Pro,"8.98, , ",3.8,2021年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,红/紫色
MG6 2017款 20T 自动Trophy尊享互联网版 国V,"4.68, , ",5.2,2018年1月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
英朗 2018款 15T 双离合精英型 国V,"3.68, , ",5.1,2018年6月,0,自动,1,前驱,国V,1,紧凑型车,92,白色
五菱凯捷 2020款 1.5T CVT尊贵型,"7.38, , ",6.6,2021年7月,0,自动,1.5,前驱,国VI,1.5,,92,银/灰色
奔驰C级 2020款 C 200 L 时尚型运动版,"20.68, , ",4.9,2019年12月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
MG6 2017款 20T 自动豪华智联版 国V,"4.68, , ",5,2018年10月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,银/灰色
指南者 2017款 200T 自动家享版,"5.98, , ",6,2017年11月,0,自动,1.4,前驱,国V,1.4,紧凑型SUV,92,红/紫色
帕萨特 2017款 330TSI DSG尊荣版,"8.92, , ",7.4,2018年9月,0,自动,1.8,前驱,国V,1.8,中型车,95,黑色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
", 宝马5系 2023款 530Li 领先型 M运动套装","39.98, , ",0.9,2023年12月,,", ",", ",,", ",,,,
汉腾X7 2016款 2.0T 手动豪华型,"4.58, , ",5,2018年12月,1,手动,2,前驱,国V,2,紧凑型SUV,92,白色
奔驰C级 2020款 C 200 L 时尚型运动版,"22.80, , ",5.6,2020年3月,0,自动,1.5,后驱,国VI,1.5,中型车,95,绿色
领克05 2020款 2.0TD 两驱耀Halo,"10.38, , ",2,2020年11月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,黑色
思域 2019款 220TURBO CVT燃动版 国V,"9.48, , ",7,2019年12月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,黄/橙色
荣威i6 2017款 20T 自动互联网智享版,"3.95, , ",7.8,2018年3月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
本田XR-V 2019款 1.5L CVT经典版 国VI,"7.80, , ",8,2019年10月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,白色
影豹 2021款 270T DCT J11版,"6.89, , ",2.69,2022年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
帕萨特 2022款 280TSI 商务版,"11.85, , ",5,2022年9月,0,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
MG6 2020款 1.5T 自动Trophy豪华版,"5.78, , ",2.7,2020年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
红旗H5 2020款 1.5T DCT旗悦版,"7.18, , ",2.8,2020年9月,0,自动,1.5,前驱,国VI,1.5,中型车,95,黑色
思域 2019款 220TURBO CVT劲动版 国V,"9.88, , ",4.9,2020年8月,1,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
阿特兹 2014款 2.0L 蓝天豪华版,"5.88, , ",10,2015年8月,1,自动,2,前驱,国IV(国V),2,中型车,92,白色
牧马人 2017款 3.6L Rubicon 四门舒享版,"29.80, , ",7,2019年6月,2,自动,3.6,四驱,国V,3.6,中型SUV,92,黑色
奔驰V级 2016款 V 260 L 尊贵加长版,"29.80, , ",7.7,2017年3月,0,自动,2,后驱,国V,2,,95,白色
奔驰E级 2016款 E 300 L 运动时尚型,"24.98, , ",7.2,2017年9月,0,自动,2,后驱,欧V,2,中大型车,95,黑色
蒙迪欧 2013款 2.0L GTDi200豪华型,"6.80, , ",8,2016年12月,0,自动,2,前驱,国IV(国V),2,中型车,92,银/灰色
", 奥迪A3 2021款 A3L Limousine 35 TFSI 豪华致雅型","12.98, , ",3,2021年7月,,", ",", ",,", ",,,,
宝马X1 2018款 xDrive20Li 尊享型,"13.28, , ",8.2,2018年1月,2,自动,2,四驱,国V,2,紧凑型SUV,95,白色
朗逸 2018款 1.5L 自动舒适版 国V,"7.78, , ",5.6,2019年2月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
